fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.9956799999999999,3.31,0.62,11.3,6.0
6.4,0.57,0.12,2.3,0.12,25.0,36.0,0.99519,3.47,0.71,11.3,7.0
7.0,0.59,0.355,2.0,0.08900000000000001,12.0,32.0,0.99735,3.36,0.61,10.0,5.0
8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.99546,3.15,0.69,11.2,6.0
8.3,0.34,0.4,2.4,0.065,24.0,48.0,0.99554,3.34,0.86,11.0,6.0
9.0,0.38,0.5,2.4,0.10300000000000001,6.0,10.0,0.9960399999999999,3.13,0.58,11.9,7.0
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,6.0
6.7,0.56,0.365,2.9,0.079,7.0,22.0,0.99669,3.46,0.61,10.2,5.0
10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.87,10.9,6.0
10.1,0.38,0.445,2.4,0.10400000000000001,6.0,13.0,0.9964299999999999,3.22,0.65,11.6,7.0
8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.9965799999999999,3.3,0.62,12.1,7.0
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5.0
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5.0
8.4,0.59,0.41,2.6,0.109,31.0,119.0,0.9980100000000001,3.15,0.5,9.1,5.0
7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,3.28,0.49,11.3,7.0
12.2,0.45,0.49,1.4,0.075,4.0,6.0,0.9969,3.13,0.63,10.4,5.0
9.1,0.5,0.3,1.9,0.065,7.0,17.0,0.99774,3.32,0.71,10.5,6.0
9.5,0.86,0.26,1.9,0.079,13.0,28.0,0.9971200000000001,3.25,0.62,10.0,5.0
12.2,0.45,0.49,1.4,0.075,4.0,6.0,0.9969,3.13,0.63,10.4,5.0
7.4,0.58,0.345,2.0,0.064,7.0,11.0,0.9956200000000001,3.45,0.58,11.3,6.0
9.8,0.34,0.39,1.4,0.066,4.0,7.0,0.9947,3.19,0.55,11.4,7.0
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.9969299999999999,3.44,0.5,9.4,5.0
7.7,0.39,0.12,1.7,0.09699999999999999,19.0,27.0,0.9959600000000001,3.16,0.49,9.4,5.0
7.1,0.34,0.29000000000000004,2.0,0.08199999999999999,31.0,68.0,0.9969399999999999,3.45,0.48,9.4,5.0
7.1,0.34,0.28,2.0,0.08199999999999999,31.0,68.0,0.9969399999999999,3.45,0.48,9.4,5.0
10.0,0.35,0.45,2.5,0.092,20.0,88.0,0.99918,3.15,0.43,9.4,5.0
5.6,0.66,0.0,2.2,0.087,4.0,11.0,0.9937799999999999,3.71,0.63,12.8,7.0
5.6,0.66,0.0,2.2,0.087,4.0,11.0,0.9937799999999999,3.71,0.63,12.8,7.0
8.9,0.84,0.34,1.4,0.05,4.0,10.0,0.99554,3.12,0.48,9.1,6.0
6.4,0.69,0.0,1.65,0.055,7.0,12.0,0.9916200000000001,3.47,0.53,12.9,6.0
7.5,0.43,0.3,2.2,0.062,6.0,12.0,0.99495,3.44,0.72,11.5,7.0
9.9,0.35,0.28500000000000003,1.5,0.057999999999999996,31.0,47.0,0.9967600000000001,3.26,0.82,10.6,7.0
9.1,0.29,0.365,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7.0
6.8,0.36,0.31,1.8,0.067,4.0,7.0,0.9928,3.36,0.55,12.8,7.0
8.2,0.43,0.29,1.6,0.081,27.0,45.0,0.99603,3.25,0.54,10.3,5.0
6.8,0.36,0.32,1.8,0.067,4.0,7.0,0.9928,3.36,0.55,12.8,7.0
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7.0
9.1,0.3,0.365,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,11.7,7.0
8.9,0.35,0.4,3.6,0.11,12.0,24.0,0.99549,3.23,0.7,12.0,7.0
8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,7.0
8.9,0.32,0.205,2.0,0.08800000000000001,12.0,19.0,0.9957,3.17,0.55,10.4,6.0
7.7,1.005,0.15,2.1,0.102,11.0,32.0,0.9960399999999999,3.23,0.48,10.0,5.0
10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6.0
8.9,0.38,0.305,2.2,0.068,12.0,28.0,0.9948600000000001,3.27,0.75,12.6,7.0
7.0,0.18,0.37,0.9,0.049,36.0,109.0,0.9900700000000001,2.89,0.44,12.7,6.0
11.3,0.36,0.66,2.4,0.12300000000000001,4.0,7.0,0.9964200000000001,3.2,0.53,11.9,6.0
7.0,0.51,0.555,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5.0
7.7,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,0.9956799999999999,3.32,0.56,10.5,7.0
8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.9982200000000001,3.33,0.6,10.4,6.0
7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.9958600000000001,3.37,0.54,10.1,6.0
7.7,0.58,0.01,1.8,0.08800000000000001,12.0,18.0,0.9956799999999999,3.32,0.56,10.5,7.0
7.1,0.59,0.0,2.1,0.091,9.0,14.0,0.9948799999999999,3.42,0.55,11.5,7.0
7.3,0.55,0.005,1.8,0.09300000000000001,9.0,15.0,0.9951399999999999,3.35,0.58,11.0,7.0
8.1,0.82,0.0,4.1,0.095,5.0,14.0,0.99854,3.36,0.53,9.6,5.0
7.5,0.57,0.01,2.6,0.08900000000000001,14.0,27.0,0.99592,3.3,0.59,10.4,6.0
10.1,0.37,0.34,2.4,0.085,5.0,17.0,0.9968299999999999,3.17,0.65,10.6,7.0
7.6,0.31,0.34,2.5,0.08199999999999999,26.0,35.0,0.99356,3.22,0.59,12.5,7.0
7.3,0.91,0.1,1.8,0.07400000000000001,20.0,56.0,0.99672,3.35,0.56,9.2,5.0
8.7,0.41,0.375,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6,7.0
9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7.0
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.9929399999999999,3.36,0.62,12.2,6.0
7.6,0.78,0.0,1.7,0.076,33.0,45.0,0.9961200000000001,3.31,0.62,10.7,6.0
7.1,0.43,0.285,1.8,0.08199999999999999,27.0,51.0,0.99634,3.49,0.64,10.4,5.0
7.1,0.43,0.285,1.8,0.08199999999999999,27.0,51.0,0.99634,3.49,0.64,10.4,5.0
5.6,0.605,0.05,2.4,0.073,19.0,25.0,0.9925799999999999,3.56,0.55,12.9,5.0
8.3,0.33,0.575,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7.0
8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.9974700000000001,3.13,0.62,9.1,6.0
8.2,0.64,0.30000000000000004,2.0,0.095,5.0,77.0,0.9974700000000001,3.13,0.62,9.1,6.0
8.9,0.48,0.53,4.0,0.10099999999999999,4.0,10.0,0.9958600000000001,3.21,0.59,12.1,7.0
7.6,0.42,0.2,3.9,0.10400000000000001,28.0,90.0,0.99784,3.15,0.57,9.1,5.0
9.9,0.53,0.57,2.4,0.09300000000000001,30.0,52.0,0.9971,3.19,0.76,11.6,7.0
8.9,0.48,0.53,4.0,0.10099999999999999,4.0,10.0,0.9958600000000001,3.21,0.59,12.1,7.0
9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.9946200000000001,3.21,0.69,12.5,7.0
10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6.0
8.2,0.74,0.53,2.0,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,6.0
6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.9935799999999999,3.4,0.72,12.5,7.0
11.1,0.31,0.5900000000000001,2.2,0.06,4.0,10.0,0.99572,3.02,0.83,10.9,7.0
11.1,0.31,0.5900000000000001,2.2,0.06,4.0,10.0,0.99572,3.02,0.83,10.9,7.0
7.0,0.62,0.51,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8,5.0
9.3,0.33,0.45,1.5,0.057,19.0,37.0,0.99498,3.18,0.89,11.1,7.0
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5.0
7.2,0.35,0.42,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6.0
7.0,0.62,0.33,2.7,0.08800000000000001,16.0,37.0,0.9972,3.31,0.58,10.7,6.0
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5.0
9.1,0.25,0.42,2.0,0.071,45.0,67.0,0.99769,3.44,0.86,10.2,7.0
8.6,0.37,0.65,6.4,0.08,4.0,7.0,0.9981700000000001,3.27,0.58,11.0,5.0
7.9,0.3,0.68,8.3,0.05,37.5,278.0,0.99316,3.01,0.51,12.3,7.0
10.3,0.27,0.525,1.4,0.047,4.0,7.0,0.99471,3.16,0.51,11.8,6.0
7.9,0.3,0.445,8.3,0.05,37.5,289.0,0.99316,3.01,0.51,12.3,7.0
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6.0
8.5,0.34,0.4,4.7,0.055,4.0,9.0,0.9973799999999999,3.38,0.66,11.6,7.0
7.9,0.19,0.225,1.6,0.057,18.0,30.0,0.9940000000000001,3.29,0.69,11.2,6.0
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7.0
11.6,0.41,0.48,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7.0
10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,7.0
7.0,0.54,0.09,2.0,0.081,10.0,16.0,0.99479,3.43,0.59,11.5,6.0
9.2,0.31,0.36,2.2,0.079,11.0,31.0,0.99615,3.33,0.86,12.0,7.0
6.6,0.725,0.09,5.5,0.11699999999999999,9.0,17.0,0.99655,3.35,0.49,10.8,6.0
7.0,0.31,0.45,2.1,0.21600000000000005,5.0,16.0,0.9935799999999999,3.15,0.81,12.5,7.0
8.4,0.34,0.42,2.1,0.07200000000000001,23.0,36.0,0.99392,3.11,0.78,12.4,6.0
6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.9940200000000001,3.45,0.54,11.2,6.0
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.9938799999999999,3.35,0.63,12.0,6.0
8.2,0.23,0.42,1.9,0.069,9.0,17.0,0.9937600000000001,3.21,0.54,12.3,6.0
9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.99523,3.27,0.85,11.7,7.0
10.8,0.47,0.43,2.1,0.171,27.0,66.0,0.9982,3.17,0.76,10.8,6.0
8.3,0.53,0.38,1.4,0.07,6.0,14.0,0.99593,3.25,0.64,10.0,6.0
5.4,0.42,0.27,2.0,0.092,23.0,55.0,0.99471,3.78,0.64,12.3,7.0
7.9,0.33,0.41,1.5,0.055999999999999994,6.0,35.0,0.9939600000000001,3.29,0.71,11.0,6.0
7.0,0.69,0.38,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6.0
7.9,0.54,0.34,2.5,0.076,7.0,17.0,0.99235,3.2,0.72,13.1,7.0
6.5,0.58,0.0,2.2,0.096,4.0,13.0,0.9955700000000001,3.62,0.62,11.5,4.0
8.8,0.24,0.35,1.7,0.055,13.0,27.0,0.9939399999999999,3.14,0.59,11.3,7.0
10.0,0.43,0.43,2.7,0.095,28.0,89.0,0.9984,3.22,0.68,10.0,5.0
10.5,0.43,0.35,3.3,0.092,24.0,70.0,0.99798,3.21,0.69,10.5,6.0
5.9,0.19,0.21,1.7,0.045,57.0,135.0,0.99341,3.32,0.44,9.5,5.0
7.4,0.36,0.34,1.8,0.075,18.0,38.0,0.9933,3.38,0.88,13.6,7.0
7.2,0.48,0.235,5.5,0.08900000000000001,10.0,18.0,0.99684,3.37,0.68,11.2,7.0
8.5,0.28,0.35,1.7,0.061,6.0,15.0,0.99524,3.3,0.74,11.8,7.0
7.3,0.4,0.43,1.7,0.08,33.0,79.0,0.9969,3.41,0.65,9.5,6.0
7.3,0.32,0.175,2.3,0.066,35.0,70.0,0.9958799999999999,3.43,0.62,10.1,5.0
7.8,0.5,0.12,1.8,0.17800000000000002,6.0,21.0,0.996,3.28,0.87,9.8,6.0
10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.99702,3.21,0.49,11.8,7.0
7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,6.0
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,6.0
8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.9947299999999999,3.3,0.76,12.8,7.0
6.6,0.58,0.0,2.2,0.1,50.0,63.0,0.99544,3.59,0.68,11.4,6.0
8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,7.0
5.1,0.51,0.18,2.1,0.042,16.0,101.0,0.9924,3.46,0.87,12.9,7.0
10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.9972799999999999,3.16,0.67,10.8,5.0
10.6,0.36,0.335,2.3,0.087,6.0,20.0,0.9967600000000001,3.14,0.72,11.1,7.0
8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.99551,3.21,0.75,10.2,6.0
8.5,0.32,0.42,2.3,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,7.0
9.0,0.785,0.335,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,5.0
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,5.0
9.9,0.54,0.26,2.0,0.111,7.0,60.0,0.9970899999999999,2.94,0.98,10.2,5.0
8.2,0.33,0.275,2.5,0.07400000000000001,29.0,48.0,0.9952799999999999,3.32,0.88,12.4,7.0
6.5,0.34,0.38,2.8,0.067,7.0,44.0,0.99384,3.21,0.56,12.0,6.0
9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.9966700000000001,3.2,0.67,10.5,6.0
6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5,6.0
6.5,0.88,0.275,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,4.0
7.1,0.66,0.17,2.4,0.052000000000000005,6.0,11.0,0.99318,3.35,0.66,12.7,7.0
5.6,0.915,0.15000000000000002,2.1,0.040999999999999995,17.0,78.0,0.99346,3.68,0.73,11.4,5.0
8.2,0.35,0.315,2.4,0.076,11.0,47.0,0.9959899999999999,3.27,0.81,11.0,6.0
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.9959899999999999,3.27,0.81,11.0,6.0
9.8,0.39,0.17,1.65,0.068,5.0,11.0,0.9947799999999999,3.19,0.46,11.4,5.0
6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,3.29,0.6,9.3,5.0
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.9953799999999999,3.36,0.7,10.9,5.0
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6.0
8.8,0.955,0.195,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,4.0
7.2,0.25,0.315,2.5,0.063,11.0,41.0,0.99439,3.52,0.8,12.4,7.0
6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,5.0
6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.9963299999999999,3.52,0.6,9.5,6.0
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.9968600000000001,3.21,0.58,9.5,6.0
7.9,0.34,0.195,1.9,0.065,5.0,10.0,0.99419,3.27,0.54,11.2,7.0
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,7.0
7.2,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,0.99534,3.4,0.85,11.0,7.0
7.2,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,0.99534,3.4,0.85,11.0,7.0
7.2,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,0.99534,3.4,0.85,11.0,7.0
7.2,0.36,0.46,2.1,0.07400000000000001,24.0,44.0,0.99534,3.4,0.85,11.0,7.0
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.9942799999999999,3.45,0.87,11.2,7.0
6.8,0.65,0.02,2.1,0.078,7.0,15.0,0.99498,3.35,0.62,10.4,6.0
6.6,0.44,0.15,2.1,0.076,22.0,53.0,0.9957,3.32,0.62,9.3,5.0
7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,3.29,0.69,9.5,6.0
8.2,0.34,0.37,1.9,0.057,43.0,74.0,0.99408,3.23,0.81,12.0,6.0
8.2,0.4,0.31,1.9,0.08199999999999999,7.0,24.0,0.996,3.24,0.69,10.6,6.0
10.9,0.32,0.245,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6.0
10.5,0.36,0.47,2.2,0.07400000000000001,9.0,23.0,0.9963799999999999,3.23,0.76,12.0,6.0
12.6,0.39,0.39,2.5,0.08,7.0,20.0,0.9992,3.07,0.82,10.3,6.0
9.2,0.46,0.23,2.6,0.091,18.0,77.0,0.9992200000000001,3.15,0.51,9.4,5.0
7.5,0.58,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,0.47,9.2,5.0
5.1,0.42,0.27,1.8,0.044000000000000004,18.0,88.0,0.9915700000000001,3.68,0.73,13.6,7.0
7.6,0.43,0.19,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5.0
7.8,0.815,0.01,2.6,0.07400000000000001,48.0,90.0,0.99621,3.38,0.62,10.8,5.0
10.2,0.23,0.37,2.2,0.057,14.0,36.0,0.9961399999999999,3.23,0.49,9.3,4.0
7.1,0.75,0.01,2.2,0.059000000000000004,11.0,18.0,0.9924200000000001,3.39,0.4,12.8,6.0
6.0,0.33,0.32,12.9,0.054000000000000006,6.0,113.0,0.99572,3.3,0.56,11.5,4.0
7.8,0.55,0.0,1.7,0.07,7.0,17.0,0.99659,3.26,0.64,9.4,6.0
7.1,0.75,0.01,2.2,0.059000000000000004,11.0,18.0,0.9924200000000001,3.39,0.4,12.8,6.0
8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,4.0
6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.9948799999999999,3.45,0.56,11.8,4.0
9.0,0.4,0.41,2.0,0.057999999999999996,15.0,40.0,0.9941399999999999,3.22,0.6,12.2,6.0
5.9,0.29,0.11,13.4,0.067,72.0,160.0,0.99721,3.33,0.54,10.3,6.0
7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.9951399999999999,3.4,0.61,10.9,6.0
7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,5.0
7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.9962799999999999,3.4,0.69,10.9,5.0
6.1,0.64,0.02,2.4,0.069,26.0,46.0,0.9935799999999999,3.47,0.45,11.0,5.0
7.5,0.59,0.165,1.8,0.08199999999999999,43.0,60.0,0.9949899999999999,3.1,0.42,9.2,5.0
7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.9963299999999999,3.32,0.7,11.0,6.0
6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.9943700000000001,3.59,0.55,11.2,4.0
8.2,0.78,0.0,2.2,0.08900000000000001,13.0,26.0,0.9978,3.37,0.46,9.6,4.0
7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,6.0
10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,6.0
6.9,0.41,0.31,2.0,0.079,21.0,51.0,0.9966799999999999,3.47,0.55,9.5,6.0
5.5,0.49,0.25,1.8,0.044000000000000004,28.0,87.0,0.9908,3.5,0.82,14.0,7.0
5.9,0.46,0.165,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,11.2,5.0
7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,6.0
7.0,0.715,0.22,2.3,0.075,13.0,81.0,0.9968799999999999,3.24,0.54,9.5,6.0
8.5,0.4,0.4,6.3,0.05,4.0,10.0,0.99566,3.28,0.56,12.0,4.0
7.0,0.69,0.395,1.9,0.114,4.0,10.0,0.99636,3.35,0.6,9.7,6.0
9.8,0.3,0.39,1.7,0.062,4.0,9.0,0.9948,3.14,0.57,11.5,7.0
7.1,0.46,0.405,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,6.0
7.1,0.46,0.405,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,6.0
7.9,0.765,0.0,2.0,0.084,9.0,22.0,0.9961899999999999,3.33,0.68,10.9,6.0
8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,0.63,10.2,6.0
7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.9947600000000001,3.39,0.56,10.9,5.0
11.3,0.37,0.5,1.8,0.09,20.0,47.0,0.99734,3.15,0.57,10.5,5.0
7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.9932799999999999,3.35,0.54,12.4,6.0
7.0,0.6,0.195,2.6,0.055999999999999994,4.0,7.0,0.9928600000000001,3.22,0.37,13.0,5.0
7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.9991399999999999,3.3,1.17,10.2,5.0
7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.9991399999999999,3.3,1.17,10.2,5.0
7.6,0.74,0.0,1.9,0.1,6.0,12.0,0.99521,3.36,0.59,11.0,5.0
5.9,0.395,0.29000000000000004,2.4,0.055999999999999994,14.0,28.0,0.9936200000000001,3.62,0.67,12.4,6.0
7.5,0.755,0.0,1.9,0.084,6.0,12.0,0.99672,3.34,0.49,9.7,4.0
6.6,0.63,0.0,4.3,0.09300000000000001,51.0,77.5,0.9955799999999999,3.2,0.45,9.5,5.0
6.6,0.63,0.22,4.3,0.09300000000000001,51.0,77.5,0.9955799999999999,3.2,0.45,9.5,5.0
7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61,12.1,6.0
5.7,0.6,0.0,1.4,0.063,11.0,18.0,0.9919100000000001,3.45,0.56,12.2,6.0
7.6,1.58,0.0,2.1,0.13699999999999998,5.0,9.0,0.9947600000000001,3.5,0.4,10.9,4.0
5.2,0.645,0.115,2.15,0.08,15.0,28.0,0.99444,3.78,0.61,12.5,6.0
7.0,0.28,0.44,1.8,0.081,28.0,68.0,0.9950100000000001,3.36,0.66,11.2,5.0
7.5,0.61,0.26,1.9,0.073,24.0,88.0,0.9961200000000001,3.3,0.53,9.8,5.0
9.7,0.69,0.32,2.5,0.08800000000000001,22.0,91.0,0.9979,3.29,0.62,10.1,5.0
6.8,0.68,0.09,3.9,0.068,15.0,29.0,0.99524,3.41,0.52,11.1,4.0
9.7,0.69,0.29000000000000004,2.5,0.08800000000000001,22.0,91.0,0.9979,3.29,0.62,10.1,5.0
7.5,0.61,0.29000000000000004,1.9,0.073,24.0,88.0,0.9961200000000001,3.3,0.53,9.8,5.0
6.5,0.51,0.15,4.0,0.064,12.0,27.0,0.9929,3.33,0.59,12.8,6.0
7.0,0.36,0.35,2.4,0.086,24.0,69.0,0.99556,3.4,0.53,10.1,6.0
9.9,0.44,0.46,2.2,0.091,10.0,41.0,0.9963799999999999,3.18,0.69,11.9,6.0
9.1,0.76,0.22,1.7,0.414,18.0,64.0,0.9965200000000001,2.9,1.33,9.1,6.0
9.7,0.66,0.34,2.6,0.094,12.0,88.0,0.9979600000000001,3.26,0.66,10.1,5.0
5.0,0.74,0.0,1.2,0.040999999999999995,16.0,46.0,0.9925799999999999,4.01,0.59,12.5,6.0
9.1,0.36,0.23,1.8,0.06,21.0,55.0,0.99495,3.18,0.82,11.0,7.0
6.7,0.46,0.24,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,6.0
6.7,0.46,0.175,1.7,0.077,18.0,34.0,0.9948,3.39,0.6,10.6,6.0
6.5,0.52,0.11,1.8,0.073,13.0,38.0,0.9955,3.34,0.52,9.3,5.0
7.4,0.6,0.30000000000000004,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,6.0
7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8,6.0
7.8,0.87,0.235,3.8,0.107,31.0,67.0,0.9966799999999999,3.26,0.46,9.2,5.0
8.4,0.39,0.1,1.7,0.075,6.0,25.0,0.9958100000000001,3.09,0.43,9.7,6.0
9.1,0.775,0.055,2.2,0.079,12.0,48.0,0.9976,3.18,0.51,9.6,5.0
6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.9944799999999999,3.36,0.45,9.5,5.0
6.0,0.5,0.0,1.4,0.057,15.0,26.0,0.9944799999999999,3.36,0.45,9.5,5.0
7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.9953799999999999,3.36,0.54,10.5,6.0
7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.9953799999999999,3.36,0.54,10.5,6.0
7.6,0.54,0.02,1.7,0.085,17.0,31.0,0.9958899999999999,3.37,0.51,10.4,6.0
7.5,0.51,0.02,1.7,0.084,13.0,31.0,0.9953799999999999,3.36,0.54,10.5,6.0
8.2,0.44,0.24,2.3,0.063,10.0,28.0,0.99613,3.25,0.53,10.2,6.0
7.2,0.655,0.03,1.8,0.078,7.0,12.0,0.99587,3.34,0.39,9.5,5.0
6.9,0.57,0.165,2.8,0.081,21.0,41.0,0.99518,3.41,0.52,10.8,5.0
7.2,0.62,0.01,2.3,0.065,7.0,46.0,0.9933200000000001,3.32,0.51,11.8,6.0
7.6,0.645,0.03,1.9,0.086,14.0,57.0,0.9969,3.37,0.46,10.3,5.0
6.1,0.34,0.25,1.8,0.084,4.0,28.0,0.99464,3.36,0.44,10.1,5.0
7.4,0.64,0.17,5.4,0.168,52.0,98.0,0.99736,3.28,0.5,9.5,5.0
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.9970399999999999,3.07,0.65,10.0333333333333,6.0
9.2,0.54,0.31,2.3,0.11199999999999999,11.0,38.0,0.9969899999999999,3.24,0.56,10.9,5.0
11.6,0.475,0.4,1.4,0.091,6.0,28.0,0.9970399999999999,3.07,0.65,10.0333333333333,6.0
7.0,0.83,0.27,2.0,0.08,11.0,63.0,0.9965200000000001,3.29,0.48,9.8,4.0
7.8,0.5,0.16,2.2,0.115,10.0,42.0,0.9971,3.18,0.62,9.5,5.0
7.0,0.77,0.32,2.1,0.079,16.0,74.0,0.99656,3.27,0.5,9.8,6.0
6.6,0.61,0.065,1.6,0.069,4.0,7.0,0.9939600000000001,3.33,0.37,10.4,4.0
8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,4.0,1.17,9.2,5.0
7.5,0.58,0.08,3.1,0.153,5.0,14.0,0.9947600000000001,3.21,1.03,11.6,6.0
8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,4.0,1.17,9.2,5.0
6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,4.0
8.2,0.885,0.2,1.4,0.086,7.0,31.0,0.9946,3.11,0.46,10.0,5.0
5.2,0.49,0.235,2.3,0.09,23.0,74.0,0.9953,3.71,0.62,12.2,6.0
7.5,0.57,0.02,2.6,0.077,11.0,35.0,0.9955700000000001,3.36,0.62,10.8,6.0
6.8,0.83,0.09,1.8,0.07400000000000001,4.0,25.0,0.99534,3.38,0.45,9.6,5.0
